reading_order,batch,sample_id,swap_from,swap_to,clause_replaced_to,caption_distractor,q1_grammatical,q2_asserts_swap_to,q3_not_still_true,notes
28,1,sushi:pn_spike\12\0000006,positive-and-negative spike,negative spike,"Correspondingly, the signal is contaminated with significant negative spikes.","The motion reflects a negative cubic function, starting with a decline, then a rise, and finally a fall. This forms a 90-degree rotated S-shape. Correspondingly, the signal is contaminated with significant negative spikes.",y,y,n,±spike truth does contain significant negative spikes; clause lacks exclusivity — claim still true
29,1,sushi:noisy\12\0000008,noisy,positive spike,The signal contains frequent positive spikes.,"The trajectory is similar to a negative cubic function's curve, declining, increasing, and declining. It results in a rotated 90-degree S-shape. The signal contains frequent positive spikes.",y,y,y,"noisy→positive spike: clause has no size qualifier ('frequent positive spikes'), and noise has frequent upward excursions — hesitated, but 'spikes' still implies discrete impulses vs jitter; kept y"
30,1,sushi:step\06\0000005,step,smooth,"In general, the signal is smooth with slight spikes.","The inclination shows decreasing inverse exponential upswing with a downturn. In general, the signal is smooth with slight spikes.",y,y,y,"smooth with slight spikes' is odd wording for the smooth class, but asserts smoothness and is false for a step signal — ok"
31,1,sushi:pn_spike\10\0000006,positive-and-negative spike,step,"Equally important, the signal is characterised by intermittent large step changes.","Similar to an inverted sigmoid curve, the process shows a descending trend, with the descent subsiding, finally approaching a value. Equally important, the signal is characterised by intermittent large step changes.",y,y,y,
32,1,sushi:p_spike\23\0000001,positive spike,noisy,"A significant amount of noise permeates the signal, in addition.","Replicated at regular intervals, the signal shows a rhythmic pattern similar to an inverse sawtooth wave. A significant amount of noise permeates the signal, in addition.",y,y,y,permeates' pins pervasive noise — clearly false for spike-only signal; kept y
33,1,sushi:step\01\0000008,step,negative spike,"Correspondingly, the signal is contaminated with significant negative spikes.","The increase in the trend is uniform and linear. Correspondingly, the signal is contaminated with significant negative spikes.",y,y,y,
34,1,sushi:n_spike\05\0000007,negative spike,positive spike,"Additionally, the signal is sporadically punctuated with sizeable positive spikes.","Ending with a sharp climax rise, the trend's progression is exponential. Additionally, the signal is sporadically punctuated with sizeable positive spikes.",y,y,y,
35,1,sushi:noisy\12\0000006,noisy,smooth,Minor noise is in the smooth signal.,"The progression reflects a negative cubic function's graph, dipping, surging, and dipping. It forms a rotated 90-degree S-shape. Minor noise is in the smooth signal.",y,y,y,
36,1,sushi:p_spike\10\0000000,positive spike,positive-and-negative spike,"Furthermore, the signal is punctuated by large positive as well as negative spikes.","The direction presents a steadily declining trend, comparable to an inverse sigmoid curve with a mirrored S-shape, with its rate of descent gradually decelerating, eventually approaching a fixed value. Furthermore, the signal is punctuated by large positive as well as negative spikes.",y,y,y,"claims BOTH polarities; truth has only positive spikes, so the negative-spike half is false — ok"
37,1,sushi:pn_spike\09\0000009,positive-and-negative spike,noisy,"Considerable amounts of noise fill the signal, also.","The pattern displays an unbroken upward trajectory, resembling an S-shaped sigmoid curve, eventually nearing a constant value, with a progressively slowing rate of increase. Considerable amounts of noise fill the signal, also.",y,y,y,±spike→noisy: 'noise fills the signal' pins pervasiveness — false for sporadic spikes; kept y
38,1,sushi:noisy\08\0000004,noisy,step,"Notably, the signal is characterised by large step changes at various points.","The trajectory is being moved towards saturation by increasing inverse decay. Notably, the signal is characterised by large step changes at various points.",y,y,y,
39,1,sushi:p_spike\08\0000007,positive spike,negative spike,Intermittent negative spikes are in the signal.,"With an increase in inverted exponential decay, the trend is approaching saturation. Intermittent negative spikes are in the signal.",y,y,y,
40,1,sushi:noisy\02\0000004,noisy,positive spike,"Positive spikes of considerable size are frequently in the signal, in addition.","The trajectory is experiencing a constant linear decrease. Positive spikes of considerable size are frequently in the signal, in addition.",y,y,y,noisy→positive spike: 'considerable size' distinguishes spikes from noise amplitude — kept y
41,1,sushi:noisy\20\0000007,noisy,smooth,Minor noise is in the smooth signal.,"The signal is showing a periodic pattern that repeats at regular intervals, like a sinusoidal wave. Minor noise is in the smooth signal.",y,y,y,
42,1,sushi:smooth\06\0000001,smooth,noisy,"Correspondingly, the signal is contaminated with significant noise.","The progression shows a reducing inverse exponential rise, characterised by a steep decline at the culmination. Correspondingly, the signal is contaminated with significant noise.",y,y,y,
43,1,sushi:pn_spike\06\0000000,positive-and-negative spike,step,"Equally important, the signal is characterised by intermittent large step changes.","The direction shows decreasing inverse exponential development with a depression. Equally important, the signal is characterised by intermittent large step changes.",y,y,y,
44,1,sushi:step\20\0000008,step,negative spike,"Considerable negative spikes mark the signal at different points, additionally.","The signal, bearing similarity to a sinusoidal wave, manifests a pattern that echoes at regular intervals. Considerable negative spikes mark the signal at different points, additionally.",y,y,y,
45,1,sushi:noisy\24\0000008,noisy,positive spike,The signal bears notable positive spikes.,The signal systematically repeats a pattern similar to a triangular wave. The signal bears notable positive spikes.,y,y,y,
46,1,sushi:pn_spike\14\0000001,positive-and-negative spike,smooth,"Mainly, the signal shows a smooth pattern with slight irregularities.","The shift is in tune with an inverted Gaussian function, dropping at first and then climbing, with both ends eventually equating to a constant value. Mainly, the signal shows a smooth pattern with slight irregularities.",y,y,y,
47,1,sushi:p_spike\24\0000005,positive spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","The signal, mirroring a triangular wave, presents a rhythm that is regularly replicated. Both large positive and negative spikes fill the signal, significantly.",y,y,y,"p_spike→±spike: claims both polarities but truth has no negative spikes — false, ok"
48,1,sushi:n_spike\23\0000003,negative spike,noisy,"Additionally, the signal is plagued by substantial noise throughout.","Signal, similar to a reverse sawtooth wave, shows a regular pattern that reverberates. Additionally, the signal is plagued by substantial noise throughout.",y,y,y,n_spike→noisy: 'throughout' pins pervasive noise — false for spike-only; kept y
49,1,sushi:pn_spike\02\0000006,positive-and-negative spike,negative spike,Large negative spikes are present in the signal.,The sequence is uniformly decreasing in a linear fashion. Large negative spikes are present in the signal.,y,y,n,±spike truth includes large negative spikes — claim still true
50,1,sushi:step\20\0000001,step,positive spike,The signal contains positive spikes.,"Signal presents a periodically repeating pattern that echoes a sinusoidal wave, consistent over a fixed time frame. The signal contains positive spikes.",y,y,y,"step→positive spike: no magnitude in clause, but steps persist while spikes revert — distinguishable; kept y"
51,1,sushi:noisy\08\0000001,noisy,smooth,Minor noise is in the smooth signal.,The trend is being driven towards saturation by the escalation of inverse exponential decay. Minor noise is in the smooth signal.,y,y,y,
52,1,sushi:noisy\08\0000001,noisy,step,Signal frequently shows large step changes.,The trend is being driven towards saturation by the escalation of inverse exponential decay. Signal frequently shows large step changes.,y,y,y,clause missing article ('Signal frequently shows...') — telegraphic but parses; judgment unaffected
53,1,sushi:pn_spike\03\0000009,positive-and-negative spike,noisy,"Besides, the signal is sporadically interrupted by large amounts of noise.","Reproducing a concave curve similar to a quadratic function, the trend initially rises and then falls. Besides, the signal is sporadically interrupted by large amounts of noise.",y,y,n,sporadically interrupted by large amounts of noise' describes sporadic large disturbances — a fair reading of ±spikes; doesn't cleanly distinguish
54,1,sushi:noisy\03\0000004,noisy,negative spike,"Besides, the signal is speckled with high levels of negative spikes.","The trend mimics a concave curve, initially rising and falling. Besides, the signal is speckled with high levels of negative spikes.",y,y,y,noisy→negative spike: 'high levels' + single polarity distinguishes from bidirectional jitter — kept y; 'high levels of spikes' slightly awkward
55,1,sushi:noisy\21\0000002,noisy,positive spike,"Positive spikes of considerable size are frequently in the signal, in addition.","Much like a square wave, the signal mirrors a rhythmic pattern that repeats at regular intervals. Positive spikes of considerable size are frequently in the signal, in addition.",y,y,y,
56,1,sushi:p_spike\08\0000002,positive spike,smooth,"Large part, the signal is smooth with minor interference.","The pattern is progressing towards saturation through increasing inverse exponential decay. Large part, the signal is smooth with minor interference.",n,y,y,"Large part, the signal is smooth...' is malformed (truncated 'For the most part') — q1 fails; q2/q3 fine"
57,1,sushi:n_spike\08\0000001,negative spike,step,"In the same vein, large step changes are seen intermittently within the signal.","Amplifying inverse decay, the trend nears saturation. In the same vein, large step changes are seen intermittently within the signal.",y,y,y,
58,1,sushi:p_spike\21\0000004,positive spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","The signal displays a consistent pattern that perpetually repeats at regular intervals, bearing similarity to a square wave. Both large positive and negative spikes fill the signal, significantly.",y,y,y,"p_spike→±spike: claims both polarities, truth has no negative spikes — false, ok"
59,1,sushi:smooth\04\0000006,smooth,noisy,"Additionally, there is a large amount of noise throughout the signal.","The line decreases and increases, like a convex curve. Additionally, there is a large amount of noise throughout the signal.",y,y,y,
60,1,sushi:smooth\13\0000001,smooth,negative spike,"In addition, the signal is consistently marred by high levels of negative spikes.","The sequence echoes a Gaussian function, on the rise then decline, balancing at a constant value. In addition, the signal is consistently marred by high levels of negative spikes.",y,y,y,
61,1,sushi:noisy\20\0000006,noisy,positive spike,"Furthermore, the signal is riddled with large positive spikes at various intervals.","The signal, mirroring a sinusoidal wave, presents a pattern that repeats at regular intervals. Furthermore, the signal is riddled with large positive spikes at various intervals.",y,y,y,noisy→positive spike: 'large' + single polarity distinguishes — kept y
62,1,sushi:p_spike\20\0000004,positive spike,smooth,"In general, the signal is smooth with slight spikes.","The signal portrays a recurring pattern at regular intervals, much like a sinusoidal wave. In general, the signal is smooth with slight spikes.",y,y,y,"smooth with slight spikes' odd wording, but contradicts large-positive-spike truth on both smoothness and magnitude — ok"
63,1,sushi:n_spike\11\0000008,negative spike,step,Large step changes consistently appear in signal.,"The pathway follows the curve of a positive cubic function, initially escalating, then declining in the middle, and finally escalating once more. This results in a mirrored S-shape that's been rotated by 90 degrees. Large step changes consistently appear in signal.",y,y,y,clause missing article ('appear in signal') — minor; judgment unaffected
64,1,sushi:smooth\14\0000009,smooth,noisy,"Besides, the signal is frequently tainted by considerable noise.","The change follows the curve of a flipped Gaussian function, first decreasing and then increasing, with both ends finally converging to a steady value. Besides, the signal is frequently tainted by considerable noise.",y,y,y,
65,1,sushi:step\20\0000001,step,negative spike,Negative spikes interrupt the signal.,"Signal presents a periodically repeating pattern that echoes a sinusoidal wave, consistent over a fixed time frame. Negative spikes interrupt the signal.",y,y,y,"no magnitude in clause, but spikes revert while steps persist — distinguishable; kept y"
66,1,sushi:n_spike\10\0000003,negative spike,positive spike,Positive spikes separate the signal.,"The pattern depicts a consistent downward trajectory, akin to an inverted sigmoid curve that exhibits a mirrored S-shape, with its rate of decrease progressively slowing down, finally nearing a definite value. Positive spikes separate the signal.",y,y,y,Positive spikes separate the signal' — 'separate' is an odd collocation (interrupt intended?); grammatical but stilted; q2/q3 clean
67,1,sushi:noisy\12\0000008,noisy,smooth,Minor interruptions remain in the smooth signal.,"The trajectory is similar to a negative cubic function's curve, declining, increasing, and declining. It results in a rotated 90-degree S-shape. Minor interruptions remain in the smooth signal.",y,y,y,
68,1,sushi:smooth\20\0000000,smooth,positive-and-negative spike,"The signal displays substantial positive and negative spikes at varying intervals, in the same vein.","The signal, akin to a sinusoidal wave, demonstrates a pattern that reoccurs at regular intervals. The signal displays substantial positive and negative spikes at varying intervals, in the same vein.",y,y,y,
69,1,sushi:smooth\13\0000001,smooth,step,"In addition, the signal is separated by step changes of considerable magnitude.","The sequence echoes a Gaussian function, on the rise then decline, balancing at a constant value. In addition, the signal is separated by step changes of considerable magnitude.",y,y,y,separated by step changes' odd collocation; otherwise clean
70,1,sushi:step\01\0000003,step,noisy,"Besides, the signal is sporadically interrupted by large amounts of noise.","The trend is escalating at a persistent and steady speed. Besides, the signal is sporadically interrupted by large amounts of noise.",y,y,y,
71,1,sushi:noisy\11\0000001,noisy,negative spike,"Correspondingly, the signal is contaminated with significant negative spikes.","The pattern follows the graph of a positive cubic function, first increasing, then decreasing in the middle, and finally increasing once more. This forms a mirrored S-shape that's been rotated by 90 degrees. Correspondingly, the signal is contaminated with significant negative spikes.",y,y,y,noisy→negative spike: 'significant' magnitude + single polarity distinguishes from noise — kept y
72,1,sushi:step\11\0000000,step,positive spike,"Also, the signal is filled with sizable positive spikes.","The sequence resembles the trajectory of a positive cubic function, starting with an increase, followed by a decrease in the middle, and ending with another increase. This constitutes an inverted S-shape, rotated by 90 degrees. Also, the signal is filled with sizable positive spikes.",y,y,y,
73,1,sushi:n_spike\04\0000003,negative spike,smooth,"Generally, the signal demonstrates a smooth trend with minor disturbances.","The route follows a convex curve, like a quadratic function, first descending, then rising rapidly. Generally, the signal demonstrates a smooth trend with minor disturbances.",y,y,y,
74,1,sushi:pn_spike\24\0000004,positive-and-negative spike,noisy,"Equally importantly, the signal is characterised by intermittent and considerable noise.","The signal indicates a repeating sequence like a triangular wave. Equally importantly, the signal is characterised by intermittent and considerable noise.",y,y,n,intermittent and considerable noise' plausibly also describes ±spikes — same issue as row 4; not clearly false
75,1,sushi:step\22\0000006,step,negative spike,Large negative spikes are present in the signal.,"The signal demonstrates a pattern that perpetually reiterates at regular intervals, like a sawtooth wave. Large negative spikes are present in the signal.",y,y,y,
76,1,sushi:n_spike\02\0000009,negative spike,positive spike,"Also, the signal frequently exhibits positive spikes of noticeable size.","The trend is steadily declining. Also, the signal frequently exhibits positive spikes of noticeable size.",y,y,y,
77,1,sushi:p_spike\00\0000004,positive spike,smooth,"Generally, the signal demonstrates a smooth trend with minor disturbances.","The trend stays unaltered, with no divergence from a specific value. Generally, the signal demonstrates a smooth trend with minor disturbances.",y,y,y,
78,1,sushi:p_spike\12\0000001,positive spike,step,Consistent large step changes can be seen in the signal.,"Starting with a dip, increasing at the midpoint and finally dipping again, the trend is akin to the curve of a negative cubic function. This forms an S-shape rotated by 90 degrees. Consistent large step changes can be seen in the signal.",y,y,y,
79,1,sushi:smooth\09\0000001,smooth,positive-and-negative spike,"Besides, the signal contains sporadic large positive and negative spikes.","The direction shows an unbroken upward pattern, similar to an S-shaped sigmoid curve, which eventually converges to a specific value, while its rate of expansion gradually slows down. Besides, the signal contains sporadic large positive and negative spikes.",y,y,y,
80,1,sushi:step\14\0000005,step,negative spike,"Additionally, there are large negative spikes throughout the signal.","Resembling an inverse Gaussian function, the orientation initially decreases then increases, with both ends equalizing at a fixed value. Additionally, there are large negative spikes throughout the signal.",y,y,y,
81,1,sushi:n_spike\09\0000001,negative spike,positive spike,The signal contains frequent positive spikes.,"Resembling an S-shaped sigmoid curve, the pattern manifests an unbroken ascending trend, which progressively slows down its rate of increase and eventually nears a constant value. The signal contains frequent positive spikes.",y,y,y,
82,1,sushi:noisy\11\0000001,noisy,smooth,"Large part, the signal is smooth with minor interference.","The pattern follows the graph of a positive cubic function, first increasing, then decreasing in the middle, and finally increasing once more. This forms a mirrored S-shape that's been rotated by 90 degrees. Large part, the signal is smooth with minor interference.",n,y,y,"Large part, the signal is smooth...' malformed (truncated 'For the most part') — same defect as row 56; q2/q3 fine"
83,1,sushi:pn_spike\01\0000004,positive-and-negative spike,noisy,"Considerable amounts of noise fill the signal, also.","The course is demonstrating a steady linear climb. Considerable amounts of noise fill the signal, also.",y,y,y,±spike→noisy: 'noise fills the signal' pins pervasiveness — false for sporadic spikes; kept y
84,1,sushi:smooth\07\0000007,smooth,step,"Additionally, there are large step changes throughout the signal.","The pathway is marked by a decrease and is drawn to a specific value by exponential decay. Additionally, there are large step changes throughout the signal.",y,y,y,
85,1,sushi:noisy\06\0000002,noisy,negative spike,"Correspondingly, the signal is contaminated with significant negative spikes.","The flow shows a decreasing inverse exponential enhancement, characterised by a steep plunge at the finish. Correspondingly, the signal is contaminated with significant negative spikes.",y,y,y,noisy→negative spike: 'significant' + single polarity distinguishes — kept y
86,1,sushi:step\05\0000005,step,positive spike,"Additionally, there are large positive spikes throughout the signal.","The progression is typified by exponential expansion, concluding with a significant surge towards the end. Additionally, there are large positive spikes throughout the signal.",y,y,y,
87,1,sushi:n_spike\14\0000006,negative spike,smooth,Minor noise is in the smooth signal.,"The trend, tracing the path of an inverted Gaussian function, descends first and then ascends, with both ends ultimately settling at a constant value. Minor noise is in the smooth signal.",y,y,y,
88,1,sushi:step\22\0000006,step,noisy,"Correspondingly, the signal is contaminated with significant noise.","The signal demonstrates a pattern that perpetually reiterates at regular intervals, like a sawtooth wave. Correspondingly, the signal is contaminated with significant noise.",y,y,y,"step→noisy: steps are clean level shifts, not 'significant noise' — distinguishable; kept y"
89,1,sushi:n_spike\20\0000008,negative spike,positive-and-negative spike,"Besides, the signal is interrupted sporadically by large positive and negative spikes.","Signal displays a recurring, sine wave-like pattern. Besides, the signal is interrupted sporadically by large positive and negative spikes.",y,y,y,"n_spike→±spike: claims both polarities, truth has no positive spikes — false, ok"
90,1,sushi:pn_spike\08\0000007,positive-and-negative spike,step,"In addition, the signal is separated by step changes of considerable magnitude.","Escalating inverse exponential decay is making the trend near saturation. In addition, the signal is separated by step changes of considerable magnitude.",y,y,y,separated by step changes' odd collocation; otherwise clean
91,1,sushi:smooth\11\0000008,smooth,negative spike,Large negative spikes are present in the signal.,"The sequence is reminiscent of a positive cubic function's path, starting with an increase, followed by a decrease in the middle, and ending with another increase. This forms an inverted S-shape, rotated by 90 degrees. Large negative spikes are present in the signal.",y,y,y,
92,1,sushi:pn_spike\01\0000004,positive-and-negative spike,positive spike,"Large positive spikes are throughout the signal, additionally.","The course is demonstrating a steady linear climb. Large positive spikes are throughout the signal, additionally.",y,y,n,±spike truth DOES contain large positive spikes ('throughout' fits their spread too); clause lacks exclusivity — claim still true
93,1,sushi:n_spike\06\0000002,negative spike,smooth,Minor noise is in the smooth signal.,"The inclination shows a decreasing inverse exponential upswing, signified by a severe downturn as it approaches its conclusion. Minor noise is in the smooth signal.",y,y,y,
94,1,sushi:p_spike\14\0000005,positive spike,noisy,"Additionally, there is a large amount of noise throughout the signal.","The course models a flipped Gaussian function, starting with a decline then incline, both ends equalizing at a constant. Additionally, there is a large amount of noise throughout the signal.",y,y,y,
95,1,sushi:n_spike\01\0000002,negative spike,step,Large step changes are in the signal.,The trend is consistently linear. Large step changes are in the signal.,y,y,y,
96,1,sushi:noisy\22\0000001,noisy,negative spike,The signal contains negative spikes.,"A periodic pattern, similar to a sawtooth wave, is reflected by the signal. The signal contains negative spikes.",y,y,y,noisy→negative spike with NO magnitude ('contains negative spikes') — hesitated; 'spikes' still implies discrete impulses vs continuous jitter; kept y
97,1,sushi:noisy\01\0000008,noisy,positive spike,Positive spikes appear throughout the signal.,The trajectory is on a linear rise. Positive spikes appear throughout the signal.,y,y,y,"noisy→positive spike, no magnitude and 'throughout' — hesitated (noise-like distribution), but discrete-impulse reading of 'spikes' is still false for noise; kept y"
98,1,sushi:p_spike\03\0000007,positive spike,smooth,"Generally, the signal is smooth with minor spikes.","The trend mirrors a concave curve similar to a quadratic function, initially rising and then falling. Generally, the signal is smooth with minor spikes.",y,y,y,smooth with minor spikes' contradicts large-spike truth on smoothness and magnitude — ok
99,1,sushi:n_spike\13\0000003,negative spike,positive-and-negative spike,"Both large positive and negative spikes fill the signal, significantly.","The course is modeled after a Gaussian function, with an initial climb followed by a descent, and both ends eventually reaching a constant. Both large positive and negative spikes fill the signal, significantly.",y,y,y,
100,1,sushi:p_spike\04\0000008,positive spike,noisy,"Besides, the signal is frequently tainted by considerable noise.","Like a convex curve, the direction decreases and increases. Besides, the signal is frequently tainted by considerable noise.",y,y,n,frequently tainted by considerable noise' could fairly describe recurring large positive spikes — same issue as rows 21/26; not clearly false
101,2,sushi:smooth\06\0000004,smooth,negative spike,"Considerable negative spikes mark the signal at different points, additionally.","The trend, ending with a fall, shows decreasing inverse exponential growth. Considerable negative spikes mark the signal at different points, additionally.",y,y,y,
102,2,sushi:n_spike\13\0000003,negative spike,positive spike,"Additionally, the signal is sporadically punctuated with sizeable positive spikes.","The course is modeled after a Gaussian function, with an initial climb followed by a descent, and both ends eventually reaching a constant. Additionally, the signal is sporadically punctuated with sizeable positive spikes.",y,y,y,
103,2,sushi:n_spike\10\0000003,negative spike,smooth,Slight noise remains in the smooth signal.,"The pattern depicts a consistent downward trajectory, akin to an inverted sigmoid curve that exhibits a mirrored S-shape, with its rate of decrease progressively slowing down, finally nearing a definite value. Slight noise remains in the smooth signal.",y,y,y,
104,2,sushi:noisy\05\0000006,noisy,step,"Notably, the signal is characterised by large step changes at various points.","The course is characterised by exponential undulation, culminating in a sharp rise towards the conclusion. Notably, the signal is characterised by large step changes at various points.",y,y,y,
