caption,n_rows,splits,label,reason,matched_patterns,verdict_y_n,notes
line stay stagnant the whole duration,1,train,invariant,anchored,\bstagnant\b; \bstays?\b,y,
line stay stagnant the whole time,1,train,invariant,anchored,\bstagnant\b; \bstays?\b,y,
line stays stagnant,6,test/train,invariant,anchored,\bstagnant\b; \bstays?\b,y,
line stays stagnant during the time,1,train,invariant,anchored,\bstagnant\b; \bstays?\b,y,
line stays stagnant most of the time,1,val,invariant,anchored,\bstagnant\b; \bstays?\b,y,
line stays stagnant the entire duration,1,val,invariant,anchored,\bstagnant\b; \bstays?\b,y,
line stays stagnant the whole time,5,train/val,invariant,anchored,\bstagnant\b; \bstays?\b,y,
little variation,1,train,invariant,negated_motion,NEG:little variation,y,
low volatility throughout,1,train,invariant,negated_motion,NEG:low volatility,y,
low volatility. stays consistent,1,train,invariant,negated_motion,NEG:low volatility,y,
maintains stability throughout,1,train,invariant,anchored,\bstabil\w*; \bmaintain\w*,y,
more or less stays flat,1,val,invariant,anchored,\bflat\w*; \bstays?\b,y,
mostly flat,3,train/val,invariant,anchored,\bflat\w*,y,
mostly flat throughout,1,train,invariant,anchored,\bflat\w*,y,
mostly level all the way through.,1,test,invariant,anchored,\blevel\b,y,
mostly stays flat.,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
mostly steady throughout,1,train,invariant,anchored,\bstead\w*,y,
nearly flat straight line throughout,1,train,invariant,anchored,\bflat\w*,y,
nearly flat throughout.,1,val,invariant,anchored,\bflat\w*,y,
no directional bias,1,train,invariant,negated_motion,NEG:no directional bias,y,
non-volatile the whole time,1,train,invariant,negated_motion,NEG:non-volatile,y,
oscillates with a negligible amplitude,1,test,invariant,negated_motion,NEG:negligible amplitude,y,
overall flat,2,train,invariant,anchored,\bflat\w*,y,
overall there is very little change in value,1,train,invariant,negated_motion,NEG:little change,y,
plot is flat and even for a potion,1,val,invariant,anchored,\bflat\w*; \beven\b,n,typo for portion; claims flatness only for an unspecified part ！ not guaranteed after shuffle
plot stays mostly flat for length,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
primarily flat,1,train,invariant,anchored,\bflat\w*,y,
primarily steady overall,1,train,invariant,anchored,\bstead\w*,y,
relatively flat,2,train,invariant,anchored,\bflat\w*,y,
relatively flat throughout the whole line,1,train,invariant,anchored,\bflat\w*,y,
remain flat,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains a consistently high value,1,train,invariant,anchored,\bconsist\w*; \bremain\w*,y,
remains almost flat all over the area,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains approximately stable throughout,1,train,invariant,anchored,\bstable\b; \bremain\w*,y,
remains consistent over the interval,1,train,invariant,anchored,\bconsist\w*; \bremain\w*,y,
remains consistently flat throughout.,1,train,invariant,anchored,\bflat\w*; \bconsist\w*; \bremain\w*,y,
remains constant throughout,1,train,invariant,anchored,\bconstant\w*; \bremain\w*,y,
remains fairly flat,2,test/train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains flat,2,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains flat and low,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains flat and steady,1,train,invariant,anchored,\bflat\w*; \bstead\w*; \bremain\w*,y,
remains flat throughout,2,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains flat throughout.,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains generally flat,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains low and relatively flat throughout,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains low and uneventful,1,train,invariant,anchored,\bunevent\w*; \bremain\w*,y,
remains most flat throughout,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains mostly flat,2,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains mostly flat everywhere,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains mostly flat everywhere.,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains mostly flat throughout,3,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains mostly level,1,train,invariant,anchored,\blevel\b; \bremain\w*,y,
remains mostly steady overall,1,val,invariant,anchored,\bstead\w*; \bremain\w*,y,
remains relatively centered thoughout.,1,train,invariant,anchored,\bremain\w*,y,
remains relatively flat,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains relatively flat throughout,3,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains relatively flat throughout.,1,train,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains relatively low and flat throughout,1,val,invariant,anchored,\bflat\w*; \bremain\w*,y,
remains stable throughout,1,train,invariant,anchored,\bstable\b; \bremain\w*,y,
remains steady throughout,2,train,invariant,anchored,\bstead\w*; \bremain\w*,y,
remains unwavering the entire way.,1,train,invariant,anchored,\bunwaver\w*; \bremain\w*,y,
ricing the height level,1,train,invariant,anchored,\blevel\b,n,"garbled, likely 'rising the height level' ！ direction/trend claim"
slow crawl along steady line,1,train,invariant,anchored,\bstead\w*,y,
small steady wave,1,train,invariant,negated_motion,NEG:small steady wave,y,
stay flat in the fist part.,1,train,invariant,anchored,\bflat\w*; \bstays?\b,n,"typo for first, position claim"
stayed flat through out,1,train,invariant,anchored,\bflat\w*; \bstayed\b; \bstaye[sd]\b,y,
stayed flat throughout,2,train,invariant,anchored,\bflat\w*; \bstayed\b; \bstaye[sd]\b,y,
stayes nearly level,1,train,invariant,anchored,\blevel\b; \bstaye[sd]\b,y,
stays at nearly the same value throughout,1,val,invariant,anchored,\bstays?\b,y,
stays completely flat throughout,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays consistent throughout,1,val,invariant,anchored,\bconsist\w*; \bstays?\b,y,
stays consistently flat throughout,1,test,invariant,anchored,\bflat\w*; \bconsist\w*; \bstays?\b,y,
stays constant,1,train,invariant,anchored,\bconstant\w*; \bstays?\b,y,
stays constant throughout,2,train,invariant,anchored,\bconstant\w*; \bstays?\b,y,
stays even throughout,1,train,invariant,anchored,\beven\b; \bstays?\b,y,
stays evenly,1,val,invariant,anchored,\bevenly\b; \bstays?\b,y,
stays fairly even,1,val,invariant,anchored,\beven\b; \bstays?\b,y,
stays fairly low throughout.,1,test,invariant,anchored,\bstays?\b,y,
stays flat,6,train/val,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays flat all the way through,1,test,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays flat most of the time,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays flat throughout,2,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays flat throughout graph.,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays flat whole time,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays flat with slight volatility.,1,test,invariant,negated_motion,NEG:slight volatility,y,
stays flat.,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays level throughout,1,train,invariant,anchored,\blevel\b; \bstays?\b,y,
stays low all the way through.,1,train,invariant,anchored,\bstays?\b,y,
stays low throughout,1,train,invariant,anchored,\bstays?\b,y,
stays low throughout most,1,train,invariant,anchored,\bstays?\b,y,
stays mostly constant throughout,2,train,invariant,anchored,\bconstant\w*; \bstays?\b,y,
stays mostly flat,6,test/train/val,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays mostly flat everywhere,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays mostly flat throughout,5,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays mostly flat with a slight wave,1,train,invariant,negated_motion,NEG:slight wave,y,
stays mostly flat.,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays near zero,1,train,invariant,anchored,\bstays?\b,y,
stays nearly flat,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively consistent,1,train,invariant,anchored,\bconsist\w*; \bstays?\b,y,
stays relatively constant throughout,1,train,invariant,anchored,\bconstant\w*; \bstays?\b,y,
stays relatively flat,2,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively flat overall,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively flat throughout,2,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively flat throughout.,3,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively flat througout.,1,train,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively flat.,2,val,invariant,anchored,\bflat\w*; \bstays?\b,y,
stays relatively level,1,train,invariant,anchored,\blevel\b; \bstays?\b,y,
stays stagnent,2,train,invariant,anchored,\bstagnent\b; \bstays?\b,y,"typo for stagnant ！ value claim, still invariant"
stays steady all the way through.,1,train,invariant,anchored,\bstead\w*; \bstays?\b,y,
stays steady throughout.,1,train,invariant,anchored,\bstead\w*; \bstays?\b,y,
stays the same for most of the graph.,1,train,invariant,anchored,\bstays?\b,y,
stays the same throughout,1,train,invariant,anchored,\bstays?\b,y,
steadily flat throughout,1,train,invariant,anchored,\bflat\w*; \bstead\w*,y,
steadily maintains,1,train,invariant,anchored,\bstead\w*; \bmaintain\w*,y,
steady,1,train,invariant,anchored,\bstead\w*,y,
steady and flat throughout the graph,1,train,invariant,anchored,\bflat\w*; \bstead\w*,y,
steady line,1,val,invariant,anchored,\bstead\w*,y,
steady line throughout.,1,train,invariant,anchored,\bstead\w*,y,
steady low stable line,1,train,invariant,anchored,\bstead\w*; \bstable\b,y,
steady throughout,3,test/train,invariant,anchored,\bstead\w*,y,
steady trhoughout,1,test,invariant,anchored,\bstead\w*,y,typo for throughout ！ still invariant
the changes stay almost constant throughout the pattern,1,train,invariant,anchored,\bconstant\w*; \bstays?\b,n,changes stay almost constant' could mean constant slope (steady rise) ！ not shuffle-safe
the graph is stable,3,train,invariant,anchored,\bstable\b,y,
the graph was stable,1,train,invariant,anchored,\bstable\b,y,
the is an almost constant value,1,train,invariant,anchored,\bconstant\w*,y,
the line is very steady and flat,1,val,invariant,anchored,\bflat\w*; \bstead\w*,y,
the line stays around the same level,1,val,invariant,anchored,\blevel\b; \bstays?\b,y,
there is little to no volatility,2,train,invariant,negated_motion,NEG:little to no volatility,y,
there is no volatility,1,train,invariant,negated_motion,NEG:no volatility,y,
very flat and steady,1,train,invariant,anchored,\bflat\w*; \bstead\w*,y,
very little change nearly a straight line,1,test,invariant,negated_motion,NEG:little change,y,
very little change overall,1,train,invariant,negated_motion,NEG:little change,y,
very little change quite steady,1,train,invariant,negated_motion,NEG:little change,y,
very not steep downward parabola,1,train,invariant,negated_motion,NEG:not steep downward parabola,n,direction + shape
very small fluctuations throughout,1,train,invariant,negated_motion,NEG:small fluctuations,y,
very steady and flat,1,val,invariant,anchored,\bflat\w*; \bstead\w*,y,
very steady and straight,1,train,invariant,anchored,\bstead\w*,y,
very steady majority,1,train,invariant,anchored,\bstead\w*,y,
very steady no change overall,1,val,invariant,negated_motion,NEG:no change,y,
very steady throughout,1,val,invariant,anchored,\bstead\w*,y,
