# N3 census sheet | 289 flagged items not in the 100-sample | rules R1-R3 in the flag column | same two-part y/n test and mechanics as the sample,,,,,,,,,,
reading_order,item_id,duration_class,flags,swap_from,swap_to,clause_replaced_from,clause_replaced_to,swapped_caption_to_judge,y_or_n,notes
11,N3|1037|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 20.63°C to a high of 33.43°C, with a noticeable upward trend during the week, particularly peaking mid-week.","The temperature ranged from a low of 20.63°C to a high of 33.43°C, with a noticeable downward trend during the week, particularly peaking mid-week.","Weather time series location: Coweta County, Georgia. Time range: The past week from July 14 to July 20, 2023. The weather is Clear, Hot, Humid. The temperature ranged from a low of 20.63°C to a high of 33.43°C, with a noticeable downward trend during the week, particularly peaking mid-week. 
 There was no recorded precipitation throughout the week, indicating dry conditions. 
 Relative humidity values fluctuated between 43.0% and 97.0%, showing a general decrease during the warmer parts of the day and higher values during the cooler nights. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional drops to lower values. 
 Wind direction showed variability with occasional stronger gusts, particularly mid-week. 
 Wind velocity varied, with some negative values indicating gusts, but generally remained low throughout the week. 
 Sky cover was predominantly clear to partly cloudy, with most observations indicating clear skies or few clouds.",y,
12,N3|1043|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 14.33°C to a high of 33.83°C, with noticeable fluctuations and a general warming trend towards the end of the period.","The temperature ranged from a low of 14.33°C to a high of 33.83°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","Weather time series location: The weather data pertains to Ouachita County, Arkansas. Time range: The past 28 days from May 14, 2023, to June 10, 2023. The weather is Clear, Cloudy, Rainy, Humid, Hot. The temperature ranged from a low of 14.33°C to a high of 33.83°C, with noticeable fluctuations and a general cooling trend towards the end of the period. 
 Precipitation was predominantly consistent at 4.66 mm, with a significant outlier of 16.7 mm observed, indicating sporadic rainfall events. 
 Relative humidity levels varied significantly, with a high of 100% and a low of 35.73%, showing a trend of higher humidity during cooler periods and lower during warmer days. 
 Visibility ranged from 5.5 km to 15.69 km, with occasional lower visibility due to weather conditions. 
 Wind direction was predominantly negative, with sporadic positive values indicating shifts in wind patterns. 
 Wind velocity showed a consistent negative trend, with occasional positive spikes, indicating variable wind conditions. 
 Sky cover varied from clear to overcast, with a mix of few to scattered clouds throughout the period.",y,
13,N3|1046|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of approximately 4.19°C to a high of around 31.32°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","The temperature ranged from a low of approximately 4.19°C to a high of around 31.32°C, with noticeable fluctuations and a general warming trend towards the end of the period.","Weather time series location: Dallas County, Texas. Time range: The past 28 days from October 19 to November 15, 2023. The weather is Clear, Cloudy, Rainy, Windy, Humid, Cold. The temperature ranged from a low of approximately 4.19°C to a high of around 31.32°C, with noticeable fluctuations and a general warming trend towards the end of the period. 
 Precipitation was minimal for most of the period, with significant rainfall events occurring on specific days, particularly with peaks of 8.48mm and 8.95mm. 
 Relative humidity varied significantly, with values ranging from 18.17% to 100%, showing a trend of higher humidity during the cooler periods and lower humidity during warmer days. 
 Visibility remained consistently high, mostly around 16 km, with occasional drops due to weather conditions. 
 Wind direction fluctuated, with notable shifts, including both positive and negative values, suggesting changing wind patterns throughout the period. 
 Wind velocity showed variability, with some strong gusts reaching up to -10.19 m/s, indicating periods of windy conditions. 
 The sky cover varied from clear to overcast, with a mix of clear and cloudy days, indicating a generally variable sky condition.",y,
14,N3|1049|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,down,up,"The temperature has shown a noticeable decline over the period, with a range from a high of 23.32°C to a low of -7.82°C, indicating a transition into colder conditions.","The temperature has shown a noticeable rise over the period, with a range from a high of 23.32°C to a low of -7.82°C, indicating a transition into warmer conditions.","Weather time series location: The weather data is for Thayer, Nebraska. Time range: The past 28 days have been from November 6, 2023, to December 3, 2023. The weather is Cold, Cloudy, Humid, Windy. The temperature has shown a noticeable rise over the period, with a range from a high of 23.32°C to a low of -7.82°C, indicating a transition into warmer conditions. 
 Precipitation has been relatively consistent, with most values around 0.69 mm, but there were some outliers with higher amounts, peaking at 1.5 mm. 
 Relative humidity has varied significantly, with values ranging from 19.33% to 100%, showing a trend towards higher humidity levels during colder days. 
 Visibility has generally remained high, mostly around 16.09 km, with occasional drops due to weather conditions. 
 Wind direction has shown variability, with both positive and negative values indicating shifts in wind patterns throughout the month. 
 Wind velocity has fluctuated, with some periods of calm and others with stronger winds, particularly negative values indicating wind direction changes. 
 The sky cover has varied, with periods of clear skies and others with significant cloud cover, particularly towards the end of the period.",y,
15,N3|1054|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 11.1°C to a high of 29.4°C, with noticeable fluctuations and a general warming trend towards the end of the week.","The temperature ranged from a low of 11.1°C to a high of 29.4°C, with noticeable fluctuations and a general cooling trend towards the end of the week.","Weather time series location: The weather was reported for Williamson, Texas. Time range: The past week from May 9 to May 15, 2019. The weather is Clear, Cloudy, Rainy, Humid, Warm. The temperature ranged from a low of 11.1°C to a high of 29.4°C, with noticeable fluctuations and a general cooling trend towards the end of the week. 
 There were sporadic light rain events, with a total precipitation of 5.4 mm, including a significant outlier of 2.97 mm on May 11. 
 Relative humidity varied significantly, starting high at 97% and dropping to a low of 37%, with a general trend of decreasing humidity over the week. 
 Visibility remained mostly clear, averaging around 16.09 km, with occasional reductions due to weather conditions. 
 Wind speeds showed variability, with values ranging from -4.1 m/s to 2.91 m/s, indicating periods of calm and gusty conditions. 
 Wind velocities were predominantly negative, indicating a consistent southward flow, with some positive gusts reaching up to 3.52 m/s. 
 The sky cover varied from clear to overcast, with significant periods of cloudiness, particularly on May 11 and 12.",y,
16,N3|105|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 3.9°C to a high of 20.0°C, with noticeable fluctuations and a general upward trend towards the end of the week.","The temperature ranged from a low of 3.9°C to a high of 20.0°C, with noticeable fluctuations and a general downward trend towards the end of the week.","Weather time series location: The weather was reported for Tulare, California. Time range: The past week from December 29, 2022, to January 4, 2023. The weather is Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 3.9°C to a high of 20.0°C, with noticeable fluctuations and a general downward trend towards the end of the week. 
 Precipitation was consistent, with several hours recording values around 0.69 mm, but there were outliers with higher amounts, peaking at 2.4 mm. 
 Relative humidity varied significantly, starting high at 97% and dropping to a low of 47%, indicating a trend towards drier conditions as the week progressed. 
 Visibility remained generally good, mostly around 16.09 km, with occasional drops to lower values due to weather conditions. 
 Wind direction fluctuated, with notable shifts, including both negative and positive values, suggesting changing wind patterns throughout the week. 
 Wind velocity showed variability, with some hours experiencing gusts up to 5.83 m/s, indicating periods of stronger winds. 
 The sky cover was predominantly overcast, with many hours reporting a sky fraction of 8/8, indicating cloudy conditions.",y,
17,N3|1060|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of approximately 11.68°C to a high of around 32.65°C, with noticeable fluctuations and a general warming trend towards the end of the period.","The temperature ranged from a low of approximately 11.68°C to a high of around 32.65°C, with noticeable fluctuations and a general cooling trend towards the end of the period.","Weather time series location: Marshall, Iowa experienced a variety of weather conditions during this period. Time range: The past 28 days from June 25, 2022, to July 22, 2022. The weather is Clear, Cloudy, Rainy, Humid, Warm. The temperature ranged from a low of approximately 11.68°C to a high of around 32.65°C, with noticeable fluctuations and a general cooling trend towards the end of the period. 
 Precipitation was minimal for most of the period, with significant rainfall occurring on a few days, particularly one day with 8.51 mm, indicating sporadic rainy events. 
 Relative humidity levels varied significantly, generally ranging from 32% to 96%, with higher humidity observed during the early mornings and lower levels in the afternoons, suggesting a diurnal pattern. 
 Visibility remained consistently high, mostly around 16.09 km, with occasional reductions due to weather conditions. 
 Wind direction also fluctuated, with values ranging from -7.99 to 8.34 m/s, indicating a mix of calm and breezy conditions. 
 Wind velocity showed variability, with both positive and negative values indicating changing wind directions, peaking at 8.34 m/s. 
 The sky cover varied, with periods of clear skies (0/8) and overcast conditions (8/8), reflecting a mix of sunny and cloudy days.",y,
18,N3|1065|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 8.66°C to a high of 35.22°C, with noticeable fluctuations and a general trend of warming, particularly in the first half of the period.","The temperature ranged from a low of 8.66°C to a high of 35.22°C, with noticeable fluctuations and a general trend of cooling, particularly in the first half of the period.","Weather time series location: Chester, Pennsylvania. Time range: The past 28 days from September 22, 2019, to October 19, 2019. The weather is Clear, Cloudy, Humid, Windy. The temperature ranged from a low of 8.66°C to a high of 35.22°C, with noticeable fluctuations and a general trend of cooling, particularly in the first half of the period. 
 Precipitation was minimal, with significant rainfall occurring only on a few occasions, notably 4.17mm and 3.93mm on specific days, indicating predominantly dry conditions. 
 Relative humidity varied significantly, peaking at 93.75% and dropping to 32.8%, showing a trend of higher humidity in the early days and lower values towards the end of the period. 
 Visibility remained consistently high, mostly around 15.68 km, with occasional drops due to weather conditions. 
 Wind direction fluctuated, with both positive and negative values indicating changes in wind patterns throughout the period. 
 Wind velocity showed variability, with some periods of strong winds, particularly with negative values indicating gusty conditions. 
 The sky cover varied from clear to overcast, with several days experiencing scattered to broken clouds, particularly in the latter part of the period.",y,
19,N3|1068|swap,28_days,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,down,up,"The temperature ranged from a low of 5.20°C to a high of 27.36°C, with noticeable fluctuations and a general trend of decreasing temperatures towards the end of the period.","The temperature ranged from a low of 5.20°C to a high of 27.36°C, with noticeable fluctuations and a general trend of increasing temperatures towards the end of the period.","Weather time series location: The weather data is from La Salle, Illinois. Time range: The past 28 days from September 6, 2020, to October 3, 2020. The weather is Clear, Cloudy, Rainy, Humid, Windy. The temperature ranged from a low of 5.20°C to a high of 27.36°C, with noticeable fluctuations and a general trend of increasing temperatures towards the end of the period. 
 Precipitation was relatively consistent, with several peaks, particularly notable on specific days, indicating sporadic rainy conditions. 
 Relative humidity varied significantly, with values ranging from 31.42% to 97.67%, showing a trend of higher humidity levels during the earlier part of the period. 
 Visibility generally remained high, with occasional drops, particularly during periods of precipitation. 
 Wind direction showed variability, with both positive and negative values indicating shifts in wind patterns throughout the month. 
 Wind velocity varied, with some periods of calm winds and others with stronger gusts, particularly towards the end of the period. 
 The sky cover ranged from clear to overcast, with a predominance of overcast conditions in the latter part of the period.",y,
20,N3|1071|swap,week,R2:\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b;\bhigh\s+of\b,up,down,"The temperature ranged from a low of 0.3°C to a high of 24.0°C, with noticeable fluctuations and a general trend of warming towards the end of the week.","The temperature ranged from a low of 0.3°C to a high of 24.0°C, with noticeable fluctuations and a general trend of cooling towards the end of the week.","Weather time series location: Harrison, Texas experienced varied weather conditions. Time range: The past week from February 27 to March 5, 2021. The weather is Rainy, Humid, Windy, Cloudy. The temperature ranged from a low of 0.3°C to a high of 24.0°C, with noticeable fluctuations and a general trend of cooling towards the end of the week. 
 There were consistent periods of precipitation, with a significant spike of 12.1 mm on one occasion, indicating a rainy pattern throughout the week. 
 Relative humidity values showed a decline from high levels around 94% to lower levels near 25%, indicating a transition from humid to drier conditions. 
 Visibility generally remained stable, mostly around 16.09 km, with occasional drops to lower values during rain. 
 Wind direction showed variability, with some periods of calm winds and others with stronger gusts. 
 Wind velocity varied, with some gusts reaching up to 7.0 m/s, indicating breezy conditions at times. 
 The sky cover fluctuated, with periods of overcast skies and scattered clouds, particularly noted during rainy periods.",y,
21,N3|1075|swap,28_days,R2:\bindicat\w+\b;\bfrom\s+(?:a\s+)?(?:high|low)s?\b;\bto\s+(?:a\s+)?(?:high|low)s?\b,up,down,"The temperature ranged from a low of 19.3°C to a high of 38.45°C, with noticeable volatility and a general upward trend towards the end of the period, indicating hot weather.","The temperature ranged from a low of 19.3°C to a high of 38.45°C, with noticeable volatility and a general downward trend towards the end of the period, indicating hot weather.","Weather time series location: Lafayette, Arkansas experienced a variety of weather conditions. Time range: The past 28 days from June 2 to June 29, 2022. The weather is Clear, Hot, Humid. The temperature ranged from a low of 19.3°C to a high of 38.45°C, with noticeable volatility and a general downward trend towards the end of the period, indicating hot weather. 
 Precipitation was minimal overall, with sporadic events, including a peak of 4.06 mm, suggesting predominantly dry conditions with occasional rain. 
 Relative humidity varied significantly, with values ranging from 37.25% to 92.14%, showing a trend of higher humidity during the early part of the month and lower values towards the end. 
 Visibility remained generally high, mostly around 16.09 km, with occasional drops to lower values, indicating mostly clear conditions. 
 Wind direction fluctuated, with values ranging from -4.18 to 3.67 m/s, suggesting variable wind patterns. 
 Wind velocity varied, with notable gusts reaching up to 5.67 m/s, indicating periods of breezy conditions. 
 The sky cover ranged from clear to overcast, with a significant number of observations indicating clear to scattered clouds.",n,"a: leftover "", indicating hot weather"" inside swapped clause contradicts the new downward trend — claim incoherent"
